CV_ID	Dataset_ID	VC_ID
ab	cmj8u3okr0001nxxbeshupy5k	ab_xpf
ba	cmj8u3osx0019nxxb58mxhvf7	ba_xpf
bas	cmj8u3ot8001hnxxbujrbkvrr	bas_cvu
bg	cmj8u3ov5002pnxxbn93qhttp	bg_xpf
ca	cmj8u3oxm004dnxxb1ye0bcy9	ca_vxc
cs	cmj8u3oyh004xnxxbd9uih97g	cs_xpf
cv	cmj8u3oz40059nxxbu0wyqk1t	cv_xpf
et	cmj8u3p2i007lnxxbhnvfmx0m	et_cvu
ha	cmj8u3p6w00alnxxbby9yqbms	ha_epi
kmr	cmj8u3pbq00dtnxxbz4yoxc4i	kmr_epi
ky	cmj8u3pco00ehnxxbvofn7lrk	ky_epi
lt	cmj8u3pdo00f5nxxb9uuewruj	lt_chr
luo	cmj8u3pe600fhnxxbqol7x8bg	luo_cvu
nl	cmj8u3pjj00j5nxxbnk8ajqgc	nl_epi
pl	cmj8u3pmr00l9nxxb5spuq4bc	pl_epi
ro	cmj8u3pr700o1nxxbx35tiwrn	ro_xpf
ru	cmj8u3prj00o9nxxbg5pbn88l	ru_epi
rw	cmj8u3pru00ohnxxbr1cnr2tg	rw_epi
sk	cmj8u3pt400pdnxxb7y6dtbza	sk_chr
sl	cmj8u3pti00plnxxbhsgn2nek	sl_chr
sv-SE	cmj8u3pud00q9nxxbcmq6uz24	sv-SE_epi
sw	cmj8u3puq00qhnxxbg26y0owu	sw_epi
ta	cmj8u3pv200qpnxxbgpfrn7la	ta_epi
ug	cmj8u3pyk00t1nxxb9b2c8xc4	ug_xpf
uk	cmj8u3pys00t5nxxb56wugqgq	uk_xpf
uz	cmj8u3pzl00thnxxbty4ixxxu	uz_epi
yo	cmj8u3q2500v5nxxb6xfa6jn5	yo_epi
hsb	cmj8u3p7y00b9nxxb2cbs37x7	hsb_xpf
lg	cmj8u3pcu00elnxxby6wyhysl	lg_vxc
tt	cmj8u3pxt00shnxxbtpac4n4m	tt_xpf
